Patient,Town
patient_16574,town_15
patient_1724,town_15
patient_19805,town_15
patient_4459,town_15
patient_3782,town_15
patient_19137,town_15
patient_14048,town_15
patient_6752,town_15
patient_15083,town_15
patient_14304,town_15
patient_11345,town_15
patient_21900,town_15
patient_1625,town_15
patient_22684,town_15
patient_5773,town_15
patient_15615,town_15
patient_11272,town_15
patient_14073,town_15
patient_6358,town_15
patient_12214,town_15
patient_11073,town_15
patient_1879,town_15
patient_952,town_15
patient_3758,town_15
patient_3911,town_15
patient_8778,town_15
patient_2648,town_15
patient_19408,town_15
patient_7558,town_15
patient_17010,town_15
patient_12273,town_15
patient_7508,town_15
patient_12596,town_15
patient_7595,town_15
patient_9313,town_15
patient_13392,town_15
patient_1435,town_15
patient_3873,town_15
patient_22638,town_15
patient_17068,town_15
patient_6917,town_15
patient_17989,town_15
patient_14063,town_15
patient_3175,town_15
patient_22156,town_15
patient_7815,town_15
patient_12044,town_15
patient_11139,town_15
patient_16413,town_15
patient_14976,town_15
patient_2295,town_15
patient_2541,town_15
patient_15822,town_15
patient_14381,town_15
patient_15002,town_15
patient_4388,town_15
patient_10245,town_15
patient_11704,town_15
patient_9297,town_15
patient_16692,town_15
patient_10430,town_15
patient_11165,town_15
patient_20197,town_15
patient_8692,town_15
patient_5875,town_15
patient_16715,town_15
patient_7671,town_15
patient_13182,town_15
patient_11898,town_15
patient_3404,town_15
patient_18069,town_15
patient_15091,town_15
patient_1855,town_15
patient_17732,town_15
patient_21885,town_15
patient_7561,town_15
patient_588,town_15
patient_13621,town_15
patient_11089,town_15
patient_12314,town_15
patient_14930,town_15
patient_18637,town_15
patient_5832,town_15
patient_13682,town_15
patient_15852,town_15
patient_3166,town_15
patient_19050,town_15
patient_19230,town_15
patient_6945,town_15
patient_9077,town_15
patient_3025,town_15
patient_11975,town_15
patient_5054,town_15
patient_10110,town_15
patient_7602,town_15
patient_19778,town_15
patient_129,town_15
patient_22086,town_15
patient_3406,town_15
patient_12220,town_15
patient_13871,town_15
patient_11097,town_15
patient_2814,town_15
patient_7143,town_15
patient_8274,town_15
patient_14367,town_15
patient_15896,town_15
patient_11654,town_15
patient_16542,town_15
patient_17725,town_15
patient_3434,town_15
patient_16182,town_15
patient_9921,town_15
patient_16119,town_15
patient_17009,town_15
patient_3731,town_15
patient_21698,town_15
patient_7033,town_15
patient_16411,town_15
patient_1532,town_15
patient_7578,town_15
patient_20267,town_15
patient_11593,town_15
patient_18708,town_15
patient_4807,town_15
patient_21697,town_15
patient_3767,town_15
patient_4914,town_15
patient_3308,town_16
patient_20561,town_16
patient_9040,town_16
patient_14653,town_16
patient_4089,town_16
patient_13638,town_16
patient_224,town_16
patient_1176,town_16
patient_8444,town_16
patient_19816,town_16
patient_12352,town_16
patient_3599,town_16
patient_6520,town_16
patient_6509,town_16
patient_16083,town_16
patient_16677,town_16
patient_5129,town_16
patient_16798,town_16
patient_12645,town_16
patient_15465,town_16
patient_9757,town_16
patient_886,town_16
patient_16805,town_16
patient_17954,town_16
patient_2763,town_16
patient_12629,town_16
patient_14696,town_16
patient_2398,town_16
patient_102,town_16
patient_6451,town_16
patient_1734,town_16
patient_21102,town_16
patient_14204,town_16
patient_13760,town_16
patient_16014,town_16
patient_9194,town_16
patient_9905,town_16
patient_11653,town_16
patient_19955,town_16
patient_18717,town_16
patient_21586,town_16
patient_1629,town_16
patient_13794,town_16
patient_19887,town_16
patient_14572,town_16
patient_4951,town_16
patient_14249,town_16
patient_1561,town_16
patient_9874,town_16
patient_4690,town_16
patient_22267,town_16
patient_12190,town_16
patient_9122,town_16
patient_8113,town_16
patient_4938,town_16
patient_19373,town_16
patient_8223,town_16
patient_6332,town_16
patient_2323,town_16
patient_8493,town_16
patient_19179,town_16
patient_9569,town_16
patient_4579,town_16
patient_8712,town_16
patient_3366,town_16
patient_9543,town_16
patient_4578,town_16
patient_11829,town_16
patient_7374,town_16
patient_16318,town_16
patient_6485,town_16
patient_1690,town_16
patient_1207,town_16
patient_5706,town_16
patient_12391,town_16
patient_6215,town_16
patient_19587,town_16
patient_13569,town_16
patient_21947,town_16
patient_16516,town_16
patient_5827,town_16
patient_19505,town_16
patient_16674,town_16
patient_17963,town_16
patient_18654,town_16
patient_10682,town_16
patient_10639,town_16
patient_9660,town_16
patient_7514,town_16
patient_17713,town_16
patient_9815,town_16
patient_12543,town_16
patient_14824,town_16
patient_21899,town_16
patient_19918,town_16
patient_16801,town_16
patient_11068,town_16
patient_13139,town_16
patient_14802,town_16
patient_9230,town_16
patient_11121,town_16
patient_9302,town_16
patient_17418,town_16
patient_16778,town_16
patient_3790,town_16
patient_1402,town_16
patient_8391,town_16
patient_7401,town_16
patient_2104,town_16
patient_5809,town_16
patient_4573,town_16
patient_4087,town_16
patient_12585,town_16
patient_1955,town_16
patient_21289,town_16
patient_20387,town_16
patient_13306,town_16
patient_16050,town_16
patient_17501,town_16
patient_16316,town_16
patient_19308,town_16
patient_14646,town_16
patient_14328,town_16
patient_11896,town_16
patient_17282,town_16
patient_4728,town_16
patient_14472,town_16
patient_3346,town_16
patient_16502,town_16
patient_3330,town_16
patient_2675,town_16
patient_19575,town_16
patient_1453,town_16
patient_12389,town_16
patient_19479,town_16
patient_10113,town_16
patient_9472,town_16
patient_21495,town_16
patient_740,town_16
patient_17333,town_16
patient_2907,town_16
patient_3819,town_16
patient_16620,town_16
patient_19915,town_16
patient_20008,town_16
patient_18921,town_16
patient_12245,town_16
patient_10235,town_16
patient_11036,town_16
patient_11236,town_16
patient_16929,town_16
patient_17575,town_16
patient_16378,town_16
patient_22675,town_16
patient_865,town_16
patient_443,town_16
patient_19659,town_16
patient_22489,town_16
patient_1357,town_16
patient_13975,town_16
patient_5176,town_16
patient_21121,town_16
patient_15425,town_16
patient_11475,town_16
patient_10471,town_16
patient_411,town_16
patient_5164,town_16
patient_2864,town_16
patient_11056,town_16
patient_3781,town_16
patient_14631,town_16
patient_15800,town_16
patient_6688,town_16
patient_17853,town_16
patient_20406,town_16
patient_17043,town_16
patient_12841,town_16
patient_22387,town_16
patient_19845,town_16
patient_14087,town_16
patient_13337,town_16
patient_12933,town_16
patient_1917,town_16
patient_14081,town_16
patient_22356,town_16
patient_18823,town_16
patient_15724,town_16
patient_11535,town_16
patient_22046,town_16
patient_407,town_16
patient_3067,town_16
patient_10208,town_16
patient_1643,town_16
patient_11611,town_16
patient_18631,town_16
patient_4748,town_16
patient_8659,town_16
patient_18183,town_16
patient_2410,town_16
patient_17015,town_16
patient_10150,town_16
patient_15490,town_16
patient_3299,town_16
patient_5695,town_16
patient_1386,town_16
patient_10346,town_16
patient_7014,town_16
patient_3256,town_16
patient_9768,town_16
patient_8051,town_16
patient_2899,town_16
patient_8215,town_16
patient_9338,town_16
patient_16652,town_16
patient_12485,town_16
patient_9418,town_16
patient_21865,town_16
patient_12522,town_16
patient_7176,town_16
patient_3145,town_16
patient_16405,town_16
patient_22655,town_16
patient_11376,town_16
patient_9731,town_16
patient_2625,town_16
patient_8696,town_16
patient_483,town_16
patient_4912,town_16
patient_10694,town_16
patient_9599,town_16
patient_10590,town_16
patient_2629,town_16
patient_1272,town_16
patient_22227,town_16
patient_2033,town_16
patient_5932,town_16
patient_14294,town_16
patient_1831,town_16
patient_1621,town_16
patient_6901,town_16
patient_20533,town_16
patient_6613,town_16
patient_3465,town_16
patient_538,town_16
patient_1400,town_16
patient_10270,town_16
patient_10291,town_16
patient_14949,town_16
patient_17646,town_16
patient_12539,town_16
patient_11019,town_16
patient_6056,town_16
patient_243,town_16
patient_22117,town_16
patient_5007,town_16
patient_10601,town_16
patient_14893,town_16
patient_9846,town_16
patient_4252,town_16
patient_20308,town_16
patient_3250,town_16
patient_3915,town_16
patient_5051,town_16
patient_15816,town_16
patient_14733,town_16
patient_7241,town_16
patient_3345,town_16
patient_14946,town_16
patient_4029,town_16
patient_13743,town_16
patient_21112,town_16
patient_6968,town_16
patient_5689,town_16
patient_13910,town_16
patient_2198,town_16
patient_6362,town_16
patient_16964,town_16
patient_12903,town_16
patient_5455,town_16
patient_22550,town_16
patient_418,town_16
patient_85,town_16
patient_6932,town_16
patient_21468,town_16
patient_8145,town_16
patient_13736,town_16
patient_18807,town_16
patient_9285,town_16
patient_1007,town_16
patient_1242,town_16
patient_18742,town_16
patient_18747,town_16
patient_2873,town_16
patient_1417,town_16
patient_13717,town_16
patient_19180,town_16
patient_21503,town_16
patient_161,town_16
patient_15570,town_16
patient_7267,town_16
patient_7128,town_16
patient_6222,town_16
patient_11440,town_16
patient_15107,town_16
patient_16689,town_16
patient_6640,town_16
patient_7830,town_16
patient_2702,town_16
patient_2241,town_16
patient_14803,town_16
patient_6727,town_16
patient_7268,town_16
patient_7099,town_16
patient_19867,town_16
patient_1197,town_16
patient_12600,town_16
patient_5330,town_16
patient_985,town_16
patient_5093,town_16
patient_647,town_16
patient_3432,town_16
patient_3270,town_16
patient_17416,town_16
patient_950,town_16
patient_8618,town_16
patient_17084,town_16
patient_12820,town_16
patient_19696,town_16
patient_12651,town_16
patient_4008,town_16
patient_229,town_16
patient_19073,town_16
patient_9055,town_16
patient_3522,town_16
patient_12740,town_16
patient_20002,town_16
patient_19414,town_16
patient_17396,town_16
patient_4622,town_16
patient_21126,town_16
patient_5888,town_16
patient_7538,town_16
patient_6558,town_16
patient_15702,town_16
patient_18698,town_16
patient_5469,town_16
patient_999,town_16
patient_18485,town_16
patient_18550,town_16
patient_15579,town_16
patient_4928,town_16
patient_4769,town_16
patient_6366,town_16
patient_5819,town_16
patient_22299,town_16
patient_882,town_16
patient_14596,town_16
patient_794,town_16
patient_5927,town_16
patient_6043,town_16
patient_22280,town_16
patient_20432,town_16
patient_19713,town_16
patient_16001,town_16
patient_22064,town_16
patient_1817,town_16
patient_20291,town_16
patient_22120,town_16
patient_9628,town_16
patient_10242,town_16
patient_17021,town_16
patient_7479,town_16
patient_14132,town_16
patient_14792,town_16
patient_11432,town_16
patient_22217,town_16
patient_20514,town_16
patient_5024,town_16
patient_15121,town_16
patient_13531,town_16
patient_14164,town_16
patient_17796,town_16
patient_20093,town_16
patient_13409,town_16
patient_13757,town_16
patient_9943,town_16
patient_15526,town_16
patient_13225,town_16
patient_1468,town_16
patient_14932,town_16
patient_16559,town_16
patient_446,town_16
patient_5220,town_16
patient_16213,town_16
patient_21440,town_16
patient_7199,town_16
patient_9523,town_16
patient_19589,town_16
patient_21198,town_16
patient_6137,town_16
patient_17648,town_16
patient_19207,town_16
patient_14804,town_16
patient_8002,town_16
patient_5262,town_16
patient_8698,town_16
patient_11365,town_16
patient_2732,town_16
patient_11828,town_16
patient_9408,town_16
patient_15958,town_16
patient_12336,town_16
patient_3446,town_16
patient_18298,town_16
patient_1631,town_16
patient_18073,town_16
patient_1547,town_16
patient_20235,town_16
patient_20483,town_16
patient_13796,town_16
patient_434,town_16
patient_10984,town_16
patient_12624,town_16
patient_22457,town_16
patient_9645,town_16
patient_14227,town_16
patient_14205,town_16
patient_5822,town_16
patient_19049,town_16
patient_9038,town_16
patient_17999,town_16
patient_11069,town_16
patient_13136,town_16
patient_10269,town_16
patient_11850,town_16
patient_21370,town_16
patient_14064,town_16
patient_10636,town_16
patient_348,town_16
patient_16102,town_16
patient_16517,town_16
patient_6125,town_16
patient_5314,town_16
patient_1205,town_16
patient_3274,town_16
patient_21100,town_16
patient_13227,town_16
patient_14308,town_16
patient_20036,town_16
patient_12440,town_16
patient_19585,town_16
patient_16789,town_16
patient_6632,town_16
patient_5915,town_16
patient_16843,town_16
patient_1512,town_16
patient_9209,town_16
patient_2973,town_16
patient_2434,town_16
patient_2974,town_16
patient_15640,town_16
patient_15825,town_16
patient_21080,town_16
patient_3353,town_16
patient_10777,town_16
patient_20049,town_16
patient_18502,town_16
patient_7947,town_16
patient_18836,town_16
patient_3713,town_16
patient_13024,town_16
patient_21934,town_16
patient_9468,town_16
patient_13958,town_16
patient_19934,town_16
patient_16666,town_16
patient_3775,town_16
patient_8733,town_16
patient_6543,town_16
patient_17064,town_16
patient_21292,town_16
patient_12232,town_16
patient_10891,town_16
patient_4907,town_16
patient_11166,town_16
patient_3706,town_16
patient_6132,town_16
patient_10578,town_16
patient_3885,town_16
patient_19555,town_16
patient_19970,town_16
patient_7201,town_16
patient_10451,town_16
patient_15146,town_16
patient_18568,town_16
patient_12626,town_16
patient_8916,town_16
patient_21398,town_16
patient_18189,town_16
patient_12311,town_16
patient_4880,town_16
patient_5373,town_16
patient_12785,town_16
patient_15235,town_16
patient_629,town_16
patient_4195,town_16
patient_9584,town_16
patient_8908,town_16
patient_7929,town_16
patient_6205,town_16
patient_15074,town_16
patient_12801,town_16
patient_17475,town_16
patient_17060,town_16
patient_311,town_16
patient_2408,town_16
patient_17211,town_16
patient_20988,town_16
patient_21486,town_16
patient_3942,town_16
patient_5357,town_16
patient_12281,town_16
patient_20475,town_16
patient_19214,town_16
patient_21736,town_16
patient_21111,town_16
patient_10726,town_16
patient_10784,town_16
patient_16892,town_16
patient_22001,town_16
patient_11127,town_16
patient_14752,town_16
patient_10555,town_16
patient_14307,town_16
patient_4945,town_16
patient_7668,town_16
patient_3745,town_16
patient_20695,town_16
patient_3836,town_16
patient_228,town_16
patient_15370,town_16
patient_16492,town_16
patient_21482,town_16
patient_7383,town_16
patient_2758,town_16
patient_14356,town_16
patient_15197,town_16
patient_18828,town_16
patient_8853,town_16
patient_12962,town_16
patient_8339,town_16
patient_3813,town_16
patient_6973,town_16
patient_13386,town_16
patient_4189,town_16
patient_7111,town_16
patient_17924,town_16
patient_17226,town_16
patient_2727,town_16
patient_14310,town_16
patient_16138,town_16
patient_3099,town_16
patient_18866,town_16
patient_883,town_16
patient_16726,town_16
patient_4056,town_16
patient_653,town_16
patient_9766,town_16
patient_10218,town_16
patient_9267,town_16
patient_12828,town_16
patient_15284,town_16
patient_12798,town_16
patient_19729,town_16
patient_6144,town_16
patient_14785,town_16
patient_18367,town_16
patient_21754,town_16
patient_19500,town_16
patient_1854,town_16
patient_16100,town_16
patient_17986,town_16
patient_3603,town_16
patient_5590,town_16
patient_18989,town_16
patient_8532,town_16
patient_5545,town_16
patient_5105,town_16
patient_14104,town_16
patient_11658,town_16
patient_20914,town_16
patient_13551,town_16
patient_8548,town_16
patient_21224,town_16
patient_10949,town_16
patient_16673,town_16
patient_8082,town_16
patient_16369,town_16
patient_19749,town_16
patient_17629,town_16
patient_14716,town_16
patient_1474,town_16
patient_2019,town_17
patient_19875,town_17
patient_14820,town_17
patient_17805,town_17
patient_10914,town_17
patient_8626,town_17
patient_8104,town_17
patient_9857,town_17
patient_8354,town_17
patient_4895,town_17
patient_19958,town_17
patient_6571,town_17
patient_297,town_17
patient_11289,town_17
patient_18556,town_17
patient_5767,town_17
patient_10358,town_17
patient_20253,town_17
patient_2107,town_17
patient_8606,town_17
patient_19895,town_17
patient_9264,town_17
patient_9473,town_17
patient_4344,town_17
patient_5311,town_17
patient_7816,town_17
patient_18412,town_17
patient_20826,town_17
patient_21772,town_17
patient_19514,town_17
patient_4564,town_17
patient_16444,town_17
patient_1987,town_17
patient_9480,town_17
patient_2352,town_17
patient_2290,town_17
patient_8467,town_17
patient_3496,town_17
patient_8530,town_17
patient_19743,town_17
patient_893,town_17
patient_14056,town_17
patient_9484,town_17
patient_1710,town_17
patient_5100,town_17
patient_6117,town_17
patient_16357,town_17
patient_7319,town_17
patient_16919,town_17
patient_11499,town_17
patient_2824,town_17
patient_173,town_17
patient_18711,town_17
patient_22443,town_17
patient_5793,town_17
patient_11362,town_17
patient_4710,town_17
patient_19195,town_17
patient_16760,town_17
patient_14273,town_17
patient_8724,town_17
patient_3979,town_17
patient_9835,town_17
patient_9260,town_17
patient_2405,town_17
patient_15959,town_17
patient_12254,town_17
patient_7688,town_17
patient_20942,town_17
patient_16021,town_17
patient_17254,town_17
patient_6938,town_17
patient_4313,town_17
patient_14613,town_17
patient_7813,town_17
patient_4462,town_17
patient_4955,town_17
patient_12973,town_17
patient_20850,town_17
patient_14970,town_17
patient_3247,town_17
patient_15448,town_17
patient_20581,town_17
patient_16948,town_17
patient_4076,town_17
patient_6825,town_17
patient_8144,town_17
patient_10986,town_17
patient_18267,town_17
patient_2879,town_17
patient_2406,town_17
patient_16033,town_17
patient_7826,town_17
patient_291,town_17
patient_13454,town_17
patient_15588,town_17
patient_19502,town_17
patient_22162,town_17
patient_22487,town_17
patient_2125,town_17
patient_18238,town_17
patient_12192,town_17
patient_4267,town_17
patient_17261,town_17
patient_496,town_17
patient_11820,town_17
patient_20858,town_17
patient_9594,town_17
patient_2730,town_17
patient_11132,town_17
patient_15468,town_17
patient_17670,town_17
patient_6135,town_17
patient_11167,town_17
patient_4604,town_17
patient_17620,town_17
patient_3435,town_17
patient_1834,town_17
patient_21190,town_17
patient_21389,town_17
patient_4428,town_17
patient_5500,town_17
patient_15676,town_17
patient_5792,town_17
patient_5759,town_17
patient_22169,town_17
patient_12957,town_17
patient_13253,town_17
patient_22473,town_17
patient_14599,town_17
patient_17025,town_17
patient_10852,town_17
patient_9697,town_17
patient_2436,town_17
patient_20603,town_17
patient_12010,town_17
patient_2328,town_17
patient_22320,town_17
patient_10403,town_17
patient_16335,town_17
patient_15195,town_17
patient_17153,town_17
patient_9548,town_17
patient_2367,town_17
patient_10021,town_17
patient_7887,town_17
patient_5234,town_17
patient_5614,town_17
patient_18281,town_17
patient_8024,town_17
patient_4935,town_17
patient_12759,town_17
patient_15375,town_17
patient_19833,town_17
patient_12936,town_17
patient_14034,town_17
patient_8048,town_17
patient_855,town_17
patient_17775,town_17
patient_10593,town_17
patient_4778,town_17
patient_15399,town_17
patient_13132,town_17
patient_9823,town_17
patient_19452,town_17
patient_3437,town_17
patient_293,town_17
patient_18185,town_17
patient_3761,town_17
patient_20613,town_17
patient_18132,town_17
patient_19103,town_17
patient_13051,town_17
patient_22072,town_17
patient_7888,town_17
patient_6087,town_17
patient_14354,town_17
patient_6182,town_17
patient_16497,town_17
patient_9696,town_17
patient_12563,town_17
patient_9011,town_17
patient_3840,town_17
patient_8039,town_17
patient_8000,town_17
patient_9671,town_17
patient_8975,town_17
patient_15251,town_17
patient_21229,town_17
patient_21825,town_17
patient_18339,town_17
patient_13574,town_17
patient_16163,town_17
patient_3539,town_17
patient_16117,town_17
patient_3376,town_17
patient_17148,town_17
patient_1753,town_17
patient_17795,town_17
patient_13247,town_17
patient_8846,town_17
patient_4560,town_17
patient_14510,town_17
patient_14231,town_17
patient_19792,town_17
patient_16690,town_17
patient_5205,town_17
patient_905,town_17
patient_4411,town_17
patient_4777,town_17
patient_2844,town_17
patient_3252,town_17
patient_5453,town_17
patient_2157,town_17
patient_5957,town_17
patient_21079,town_17
patient_193,town_17
patient_3563,town_17
patient_3564,town_17
patient_15851,town_17
patient_3825,town_17
patient_5243,town_17
patient_4161,town_17
patient_13804,town_17
patient_9816,town_17
patient_5445,town_17
patient_14958,town_17
patient_5751,town_17
patient_21237,town_17
patient_15956,town_17
patient_14738,town_17
patient_4418,town_17
patient_6507,town_17
patient_14238,town_17
patient_17122,town_17
patient_13921,town_17
patient_6208,town_17
patient_702,town_17
patient_14695,town_17
patient_2499,town_17
patient_901,town_17
patient_2887,town_17
patient_4284,town_17
patient_10751,town_17
patient_3331,town_17
patient_3892,town_17
patient_20710,town_17
patient_534,town_17
patient_19002,town_17
patient_3028,town_17
patient_4295,town_17
patient_6249,town_17
patient_2065,town_17
patient_2953,town_17
patient_9355,town_17
patient_12851,town_17
patient_3049,town_17
patient_4804,town_17
patient_17216,town_17
patient_10635,town_17
patient_15814,town_17
patient_17657,town_17
patient_5380,town_17
patient_16344,town_17
patient_16893,town_17
patient_3268,town_17
patient_20078,town_17
patient_20372,town_17
patient_8905,town_17
patient_9745,town_17
patient_21161,town_17
patient_3518,town_18
patient_11352,town_18
patient_22654,town_18
patient_14053,town_18
patient_10861,town_18
patient_17339,town_18
patient_20591,town_18
patient_2806,town_18
patient_18494,town_18
patient_8342,town_18
patient_8503,town_18
patient_7331,town_18
patient_20190,town_18
patient_14865,town_18
patient_1756,town_18
patient_19857,town_18
patient_17138,town_18
patient_13509,town_18
patient_3008,town_18
patient_18818,town_18
patient_16053,town_18
patient_21477,town_18
patient_20585,town_18
patient_1974,town_18
patient_9896,town_18
patient_7712,town_18
patient_13329,town_18
patient_7261,town_18
patient_20685,town_18
patient_19635,town_18
patient_22661,town_18
patient_8763,town_18
patient_14741,town_18
patient_13260,town_18
patient_20525,town_18
patient_20684,town_18
patient_11604,town_18
patient_17180,town_18
patient_12284,town_18
patient_18007,town_18
patient_3606,town_18
patient_2575,town_18
patient_9358,town_18
patient_18156,town_18
patient_10873,town_18
patient_9129,town_18
patient_4363,town_18
patient_1164,town_18
patient_325,town_18
patient_22592,town_18
patient_17502,town_18
patient_12716,town_18
patient_15964,town_18
patient_6333,town_18
patient_9292,town_18
patient_13867,town_18
patient_12518,town_18
patient_8464,town_18
patient_6857,town_18
patient_4310,town_18
patient_1950,town_18
patient_17151,town_18
patient_7112,town_18
patient_12250,town_18
patient_16129,town_18
patient_22435,town_18
patient_9050,town_18
patient_19446,town_18
patient_6883,town_18
patient_17252,town_18
patient_15971,town_18
patient_13628,town_18
patient_8405,town_18
patient_8031,town_18
patient_14364,town_18
patient_17734,town_18
patient_2075,town_18
patient_10281,town_18
patient_13728,town_18
patient_6823,town_18
patient_1222,town_18
patient_9049,town_18
patient_9112,town_18
patient_6474,town_18
patient_4637,town_18
patient_12761,town_18
patient_14007,town_18
patient_1612,town_18
patient_9546,town_18
patient_15306,town_18
patient_4986,town_18
patient_18930,town_18
patient_9081,town_18
patient_18179,town_18
patient_13437,town_18
patient_11834,town_18
patient_196,town_18
patient_3597,town_18
patient_18886,town_18
patient_17914,town_18
patient_11859,town_18
patient_6860,town_18
patient_13463,town_18
patient_16112,town_18
patient_1705,town_18
patient_2459,town_18
patient_15717,town_18
patient_4123,town_18
patient_3425,town_18
patient_1781,town_18
patient_16169,town_18
patient_19917,town_18
patient_21848,town_18
patient_11049,town_18
patient_17115,town_18
patient_15181,town_18
patient_8825,town_18
patient_603,town_18
patient_12401,town_18
patient_4441,town_18
patient_21591,town_18
patient_17759,town_18
patient_2163,town_18
patient_15345,town_18
patient_12658,town_18
patient_20419,town_18
patient_557,town_18
patient_3245,town_18
patient_15477,town_18
patient_10711,town_18
patient_11937,town_18
patient_12025,town_18
patient_18430,town_18
patient_21334,town_18
patient_19948,town_18
patient_5058,town_18
patient_13733,town_18
patient_15920,town_18
patient_204,town_18
patient_6812,town_18
patient_5554,town_18
patient_21814,town_18
patient_15796,town_18
patient_14202,town_18
patient_265,town_18
patient_21588,town_18
patient_2622,town_18
patient_1155,town_18
patient_450,town_18
patient_12945,town_18
patient_12236,town_18
patient_17340,town_18
patient_1317,town_18
patient_17023,town_18
patient_17858,town_18
patient_15199,town_18
patient_6178,town_18
patient_12862,town_18
patient_13092,town_18
patient_20067,town_18
patient_15269,town_18
patient_6899,town_18
patient_8794,town_18
patient_7496,town_18
patient_3693,town_18
patient_1638,town_18
patient_21737,town_18
patient_15955,town_18
patient_21617,town_18
patient_4565,town_18
patient_16500,town_18
patient_21759,town_18
patient_10015,town_18
patient_1577,town_18
patient_7999,town_18
patient_7435,town_18
patient_11041,town_18
patient_22228,town_18
patient_13775,town_18
patient_13771,town_18
patient_11576,town_18
patient_4761,town_18
patient_562,town_18
patient_3883,town_18
patient_11010,town_18
patient_1359,town_18
patient_10450,town_18
patient_21195,town_18
patient_5108,town_18
patient_4395,town_18
patient_5349,town_18
patient_2038,town_18
patient_1308,town_18
patient_9017,town_18
patient_10116,town_18
patient_21024,town_18
patient_7380,town_18
patient_13909,town_18
patient_10550,town_18
patient_22276,town_18
patient_4304,town_18
patient_6547,town_18
patient_10048,town_18
patient_9188,town_18
patient_7758,town_18
patient_19728,town_18
patient_19035,town_18
patient_17071,town_18
patient_15008,town_18
patient_4584,town_18
patient_4192,town_18
patient_10117,town_18
patient_8118,town_18
patient_21977,town_18
patient_16105,town_18
patient_13257,town_18
patient_9673,town_18
patient_12911,town_18
patient_9363,town_18
patient_1983,town_18
patient_9035,town_18
patient_4702,town_18
patient_12339,town_18
patient_19315,town_18
patient_19140,town_18
patient_6245,town_18
patient_11810,town_18
patient_16038,town_18
patient_1676,town_18
patient_7202,town_18
patient_14079,town_18
patient_16575,town_18
patient_10794,town_18
patient_12393,town_18
patient_2611,town_18
patient_13879,town_18
patient_2945,town_18
patient_16503,town_18
patient_12249,town_18
patient_17197,town_18
patient_21516,town_18
patient_13702,town_18
patient_9182,town_18
patient_20893,town_18
patient_21944,town_18
patient_4881,town_18
patient_1553,town_18
patient_7428,town_18
patient_12248,town_18
patient_21990,town_18
patient_9028,town_18
patient_55,town_18
patient_8372,town_18
patient_18953,town_18
patient_19316,town_18
patient_9511,town_18
patient_3430,town_18
patient_3368,town_18
patient_20789,town_18
patient_15789,town_18
patient_20409,town_18
patient_2212,town_18
patient_9485,town_18
patient_16640,town_18
patient_2569,town_18
patient_18292,town_18
patient_11548,town_18
patient_17968,town_18
patient_16931,town_18
patient_5215,town_18
patient_5551,town_18
patient_12486,town_18
patient_16543,town_18
patient_15049,town_18
patient_20805,town_18
patient_8609,town_18
patient_18446,town_18
patient_13695,town_18
patient_4126,town_18
patient_2639,town_18
patient_12411,town_18
patient_5195,town_18
patient_20541,town_18
patient_3144,town_18
patient_14685,town_18
patient_5046,town_18
patient_4381,town_18
patient_3576,town_18
patient_1424,town_18
patient_1454,town_18
patient_21760,town_18
patient_2634,town_18
patient_16380,town_18
patient_18753,town_18
patient_17143,town_18
patient_7171,town_18
patient_6444,town_18
patient_2224,town_18
patient_6021,town_18
patient_768,town_18
patient_12731,town_18
patient_18516,town_18
patient_5643,town_18
patient_21637,town_18
patient_487,town_18
patient_9780,town_18
patient_7885,town_18
patient_3200,town_18
patient_14330,town_18
patient_5488,town_18
patient_10907,town_19
patient_5079,town_19
patient_2641,town_19
patient_3238,town_19
patient_22315,town_19
patient_14622,town_19
patient_7730,town_19
patient_5021,town_19
patient_21388,town_19
patient_15567,town_19
patient_2725,town_19
patient_8198,town_19
patient_18872,town_19
patient_17672,town_19
patient_14293,town_19
patient_5348,town_19
patient_18526,town_19
patient_3961,town_19
patient_1760,town_19
patient_8947,town_19
patient_8691,town_19
patient_4528,town_19
patient_5352,town_19
patient_20829,town_19
patient_10391,town_19
patient_20435,town_19
patient_11583,town_19
patient_8842,town_19
patient_20504,town_19
patient_2485,town_19
patient_11724,town_19
patient_2654,town_19
patient_16691,town_19
patient_13055,town_19
patient_3198,town_19
patient_17364,town_19
patient_11693,town_19
patient_5703,town_19
patient_10771,town_19
patient_2222,town_19
patient_1823,town_19
patient_15609,town_19
patient_5923,town_19
patient_12296,town_19
patient_11005,town_19
patient_21849,town_19
patient_13088,town_19
patient_611,town_19
patient_20325,town_19
patient_454,town_19
patient_6634,town_19
patient_3038,town_19
patient_1486,town_19
patient_1941,town_19
patient_4749,town_19
patient_10905,town_19
patient_13705,town_19
patient_10464,town_19
patient_15801,town_19
patient_519,town_19
patient_2492,town_19
patient_15638,town_19
patient_2495,town_19
patient_11402,town_19
patient_19964,town_19
patient_21323,town_19
patient_3350,town_19
patient_11203,town_19
patient_6996,town_19
patient_9171,town_19
patient_22591,town_19
patient_4239,town_19
patient_2830,town_19
patient_4116,town_19
patient_8969,town_19
patient_12744,town_19
patient_7420,town_19
patient_17077,town_19
patient_18345,town_19
patient_20163,town_19
patient_15475,town_19
patient_10969,town_19
patient_7825,town_19
patient_11456,town_19
patient_21269,town_19
patient_15266,town_19
patient_9322,town_19
patient_936,town_19
patient_12457,town_19
patient_762,town_19
patient_17761,town_19
patient_21027,town_19
patient_13824,town_19
patient_15604,town_19
